Name / Purpose,Rating,"<img src=""https://s5.postimg.cc/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""https://s5.postimg.cc/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px"" />"
"[title_desc name=""HL2 Wars Source Code"" desc=""Source Code"" /]",[kkratings id=312828],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!oR4XlaQZ!GHpG_9LqACLdzxx3aVremA"" /]"
"[title_desc name=""HL1 Lasthope Source Code"" desc=""Source Code"" /]",[kkratings id=312829],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!EAwRhCYQ!_wcY1LMHJw0rEAv2Ta3qBg"" /]"
"[title_desc name=""HL Induction SDK"" desc=""SDK"" /]",[kkratings id=312830],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!RcZVGSLA!oYYLOvHIMfYWve-IfUMPeQ"" /]"
"[title_desc name=""Heart of Evil Napalm Edition SDK"" desc=""SDK"" /]",[kkratings id=312831],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!xRxxHYbC!5Ovb2pUot0e4z6Fp3mtnbA"" /]"
"[title_desc name=""Headcrab Frenzy Source Code"" desc=""Source Code"" /]",[kkratings id=312832],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!UIR0URpJ!eVrUKVMeXLy0U2UrKLeWJA"" /]"
"[title_desc name=""Hazardous-Course 2 SDK"" desc=""Sample map files"" /]",[kkratings id=312833],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!FVh2mA6A!xgc2fjcjEIIHWQ3gJy4p4w"" /]"
"[title_desc name=""Hauntings SDK"" desc=""SDK"" /]",[kkratings id=312834],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!BcoiCBBD!QnR2KhFuq1FFjsWF8CuH4g"" /]"
"[title_desc name=""Hammer Deluxe Source Code"" desc=""I dont even know...."" /]",[kkratings id=312835],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!xZYSFLxA!B6AQq1nlfCwc0y5y7warNg"" /]"
"[title_desc name=""HalfLife Tactics SDK"" desc=""SDK"" /]",[kkratings id=312836],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!ZRowSThI!26kf4XkniAMwCMOZHmcuSg"" /]"
"[title_desc name=""Half-Life Beta Death Match SDK"" desc=""SDK"" /]",[kkratings id=312837],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!lZ43BSYD!6EtcW2FLQSnnHD1R8K_n-A"" /]"
"[title_desc name=""Half-Life 2 Return To Xen - RTX Source Code"" desc=""Source Code"" /]",[kkratings id=312837],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!lZ43BSYD!6EtcW2FLQSnnHD1R8K_n-A"" /]"
"[title_desc name=""Half Screwed Source Code"" desc=""Source Code"" /]",[kkratings id=312838],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!5QR3GIzT!DBy9s5rbxvfttWxSOG-5pg"" /]"
"[title_desc name=""Forsaken Source code"" desc=""Source Code"" /]",[kkratings id=312839],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!sVgXXKRZ!_yTaV2umPC1WC1wIwXutBw"" /]"
"[title_desc name=""ETC2 Source Code"" desc=""Source Code"" /]",[kkratings id=312840],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!ABxQTZyR!-vXVhvoiWOqdvlXPvb6tMQ"" /]"
"[title_desc name=""ETC1 Source Code"" desc=""Source Code"" /]",[kkratings id=312841],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!ANogQBCL!RLzzbcsHh9lJMuvNu6Tnzg"" /]"
"[title_desc name=""Estranged Act 1 Source Code"" desc=""Source Code"" /]",[kkratings id=312842],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!wZZXDIqY!3APGbAnj1xaEwHWgZVyM9g"" /]"
"[title_desc name=""Enterprise - TCW Source Code"" desc=""Source Code"" /]",[kkratings id=312843],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!kQIzWazB!t1jv2Q3pvGfcsjRBAXXGgA"" /]"
"[title_desc name=""Dreamball Dev Kit"" desc=""Dev Kit"" /]",[kkratings id=312844],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!5NJgRRII!8F9tveoNVCkVJPlk1q2cjg"" /]"
"[title_desc name=""Dark Messiah SDK"" desc=""SDK"" /]",[kkratings id=312845],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!gEY0XSiY!0-wnWXC9Z8uC94V6_MAKWg"" /]"
"[title_desc name=""CSSRPG Source Code"" desc=""Source Code"" /]",[kkratings id=312846],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!kURgzbZb!9vWWo-QJGx771vPK1PYnSw"" /]"
"[title_desc name=""Cry of Fear SDK"" desc=""SDK"" /]",[kkratings id=312847],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!BFRm3BqT!74Aq1hn8v3vpPK9BLAOAVg"" /]"
"[title_desc name=""Cortex Cluster SDK"" desc=""SDK"" /]",[kkratings id=312848],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!4c4TRBbR!_wY2ja-2S0sDT3lnxuuxIw"" /]"
"[title_desc name=""Castle Source Code"" desc=""Source Code"" /]",[kkratings id=312849],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!EBJHRTLa!i4f7D8yh0j_FmM6gQMrspA"" /]"
"[title_desc name=""Bunker 66 VMFs"" desc=""Valve Map source for the Bunker 66 Mod"" /]",[kkratings id=312850],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!lcxGTCrB!C5Uw4dfknbmrG9jOZD1Z6A"" /]"
"[title_desc name=""Blue Portals SDK"" desc=""SDK"" /]",[kkratings id=312851],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!UQIwBTwb!4jJsUA10P7nVFEJ2auYaZg"" /]"
"[title_desc name=""Bloodlines SDK"" desc=""SDK"" /]",[kkratings id=312852],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!xRxTyToY!cmB1zjAcFVrQrX4JjcQxtQ"" /]"
"[title_desc name=""Black Guard RMFs"" desc=""Source Map files for Black Guard"" /]",[kkratings id=312853],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!AYQgiLwR!bi2SBsnd6BW7LvLuFXOXqQ"" /]"
"[title_desc name=""Bisounours Source Code"" desc=""Source Code"" /]",[kkratings id=312854],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!tcgwBC6R!kwDwNRSevAm4MejxH7QvZw"" /]"
"[title_desc name=""Arrangement Rebirth Source Code"" desc=""Source Code"" /]",[kkratings id=312855],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!ocQEGKAB!45-Ck4mVbJ47qlyzjty0Cw"" /]"
"[title_desc name=""Amnesia Sound Engine For Half-Life"" desc=""Add an alternative sound engine to half-life"" /]",[kkratings id=312856],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!FNgW0aZB!azl9TGYuNdVwKUpq5cpRIw"" /]"
"[title_desc name=""Alien Swarm SDK Templates"" desc=""Templates to make the Alienswarm SDK more like the Source SDK 2013"" /]",[kkratings id=312857],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!5FZzhBxJ!FvQyta3ke-k9K8zhwJck8w"" /]"
"[title_desc name=""Golden Eye - Source (Source Code)"" desc=""Collection of Source code and libraries for Golden Eye Source"" /]",[kkratings id=312858],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!RZxXzRYS!CNRceJqdVpoysMGP6ulWSg"" /]"
"[title_desc name=""Double Action Source Code"" desc=""Source code for the stylish game Double Action"" /]",[kkratings id=312859],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!lYZQnTrS!5QRVXzhrhHJWU8y5ooCVcw"" /]"
"[title_desc name=""Battle Grounds Source Code"" desc=""Source code for the Battle grounds mod"" /]",[kkratings id=312860],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!gNRHgboL!7b3bwBb2scwd197dp1VVfQ"" /]"
"[title_desc name=""Garrys Mod LUA source"" desc=""LUA source code for Garrys Mod"" /]",[kkratings id=312861],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!BcpywSDB!_uFJv9d9DTTAlIK-EaShGw"" /]"
"[title_desc name=""Compiled Vanilla HL2EP2 Binaries (23.08.2015)"" desc=""Wazanator compiled a vanillia version of the EP2 binaries that come with the Source SDK 2013"" /]",[kkratings id=312862],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!lMhASCpb!rSwIzx6YtR_IsQ23n6x_3Q"" /]"
"[title_desc name=""The Wastes FGD &amp; WAD"" desc=""Mini SDK for the Wastes"" /]",[kkratings id=312863],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!YA5FlJqQ!jCIliU8fXI-03DowP85hUQ"" /]"
"[title_desc name=""HL Invasion SDK with Source Code"" desc=""Source code for HL Invasion"" /]",[kkratings id=312864],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!IYBFkLgC!DJVAmTrH5YvP9PNdX9sR6Q"" /]"
"[title_desc name=""Chicken Fortress 3 SDK"" desc=""Source code for Chicken Fortress 3 Pre Alpha"" /]",[kkratings id=312865],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!1QABBIwZ!-iceIhWnhoNdVNrkyK2yzw"" /]"
"[title_desc name=""Cold Ice SDK"" desc=""Source code for Cold Ice MP"" /]",[kkratings id=312866],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!sYZX0boI!nIruMdNtBXb-rjQD7UVMoQ"" /]"
"[title_desc name=""Base Defense Mini SDK"" desc=""no source code just rmfs"" /]",[kkratings id=312867],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!BE4ljJhQ!CWB51u8IcQT1a3W3eBTy-w"" /]"
"[title_desc name=""HL Enhanced"" desc=""Half-Life Enhanced. Vanilla SDK with improvements."" /]",[kkratings id=312868],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!oBIm0TDI!fmg1gKIlv_Gd-Y5JG_wrfw"" /]"
"[title_desc name=""Basis - Source Code"" desc=""Something like Spirit of Half-Life. The intent is to add more features to the Half-Life SDK while better documenting the engine\'s features and maintaining the same style."" home_link=""https://github.com/tschumann/basis"" /]","[kkratings id=""312869""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!JUoVmALD!D27iWPKFMRaFcOyInIE1Qw"" /]"
"[title_desc name=""Natural Selection Source Code"" desc=""An attempt at getting Natural Selection to compile for Windows and Linux."" home_link=""https://github.com/tschumann/naturalselection"" /]","[kkratings id=""312870""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!FcJWDYhL!WmV3bw2L4UPqTS1Zt4SFNA"" /]"
"[title_desc name=""Sandbot"" desc=""Sandbot is based on HPB Bot by Jeffrey Broome"" home_link=""https://github.com/tschumann/sandbot"" /]","[kkratings id=""312871""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!pEJn3LbS!_awBPyzXd4IWl-BkVrJKlQ"" /]"
"[title_desc name=""Half-Nuked Source Code"" desc=""Here\'s the source code of Half-Nuked, I just don\'t have a lot of time to dedicate to this mod and I don\'t think I\'ll work further on it, feel free to toy around with it, or even continuing it\'s development, that\'s up to you."" /]","[kkratings id=""312872""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!hVoQAaoD!QSFCBRCnOh3AiYrphpjAhw"" /]"
"[title_desc name=""Gunman WC Mappack"" desc=""Around 300 maps from the development of Gunman Chronicles. This is nowhere near the full map sources of the game, it is just what I\'ve been able to gather."" /]","[kkratings id=""312873""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!EMZUHYgT!RD4tfiDu3Dw2-mViE8MPHA"" /]"
"[title_desc name=""Autonomy Lost map source files"" desc=""These are all the map source files for Autonomy Lost. Please note that they\'re in the JMF file format which requires the J.A.C.K. editor in order for them to work. Read the readme.txt for more info."" /]","[kkratings id=""312874""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!xFwEFQba!6dCVv61LWaPb5OSVRnQ35Q"" /]"
"[title_desc name=""Half-Life Modding Kit - Code"" desc=""Just for the people who are only interested in the coding aspect of Half-Life Modding Kit. Includes summon sdk."" home_link=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]","[kkratings id=""312875""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!ZIQiCbQT!uQRPj2GyzvrZnghW5Ta3xg"" /]"
"[title_desc name=""Half-Life Modding Kit - Mapping"" desc=""This version only contains the tools used for mapping such as Hammer Editor and compile tools, and a large collection of map and prefab sources."" /]","[kkratings id=""312876""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!cRIFETSD!Q1MUzeVck7RP_3Wc2kcJ5A"" /]"
"[title_desc name=""Digital Paintball Field Development Kit"" desc=""Including every basic tool necessity a new or seasoned map developer will need to get started creating fields for DPB/Redux!"" /]","[kkratings id=""312877""]","[prev img=""https://s5.postimg.cc/xow5cb8uf/mapdevkit.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!5YpxBBxa!4dyuLM6iXSjD4Lw9S9W-8Q"" /]"
"[title_desc name=""Fman SDK"" desc=""Fman tools SDK"" /]","[kkratings id=""312878""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!sUpHjAKS!RW48VNyiLNnmAjvv4gOBCg"" /]"
"[title_desc name=""Half-Life: Absolute Zero - Absolutely Abandoned"" desc=""Previously scrapped content uploaded for people to use. Also includes 2 Absolute Zero pre-release builds"" /]","[kkratings id=""312879""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!hRxEQIpb!FZI9GM9ikvoJIL71oKl9zA"" /]"
"[title_desc name=""X-Half-Life Deathmatch Source Code"" desc=""X-Half-Life Deathmatch 3.0.3.8 Software Development Kit (SDK)"" /]","[kkratings id=""312880""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!sB4w0BwL!dgJmRkNwHtYBOb1Rnf5BxQ"" /]"
"[title_desc name=""An unknown game Source Code"" desc=""I only added 1 NPC, tried to add a weapon, but failed, and I modified some things, like the weapon bobbing, and I made the RPG slow down the player if they carry it."" /]","[kkratings id=""312881""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!NFZ1ADjK!Mva8k0IQ2JQNZ_khWhXIrA"" /]"
"[title_desc name=""Half-Life Reborn SDK"" desc=""Developer tools for Half-Life Reborn"" /]","[kkratings id=""312882""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!sARlGKyQ!AX6C192786VDK10pVWj2-A"" /]"
"[title_desc name=""ARGG - Adnans Rotational Gravity Gun"" desc=""This is the source code for Adnan\'s Rotational Gravity Gun, v1.0."" home_link=""https://web.archive.org/web/20150222194420/http://skew.telefragged.com/mods/hl2/ARGG/"" /]","[kkratings id=""312883""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!YU4WzawK!OpYPX7szZgVUOXc86xX6kQ"" /]"
"[title_desc name=""ICE - A Half-Life 2 Expansion Pack"" desc=""This is the ICE HL2 Expansion source code ported to 2013 single player by Marc-Antoine Lortie."" home_link=""https://github.com/malortie/hl2-icemod"" /]","[kkratings id=""312884""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!IJxklBxR!1qw8yHGh5ah7A1LfOMXLIA"" /]"
"[title_desc name=""HL2DM Beta Source Code"" desc=""The source code for the Source SDK 2007 version of Half-Life 2 Beta Deathmatch."" /]","[kkratings id=""312885""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!4IoTWD6Q!4d8rkdq5chBD2TAeknbE-A"" /]"
