Name / Purpose,Rating,"<img src=""https://s5.postimg.cc/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""https://s5.postimg.cc/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px"" />"
"[title_desc name=""Custom Shaders"" desc=""Small collection of custom shaders for Source"" /]",[kkratings id=232323],[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png],[source],"[mega id=""https://mega.nz/#F!8F52GJ6R!9rwLK7Ct1R-mNsFftqhFGQ"" /]"
"[title_desc name=""ENBSeries HL2Mod"" desc=""Modified DirectX libraries for a better experience in Half-life 2"" /]",[kkratings id=232324],[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png],[source],"[mega id=""https://mega.nz/#F!0VgAVL6T!3mooBevmO01s4HeiTLXvjQ"" /]"
"[title_desc name=""Spray Maker"" desc=""Create animated Sprays for use in Source Games"" /]",[kkratings id=232325],[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png],[source],"[mega id=""https://mega.nz/#F!1dRGEBpb!oIK3JFguUYYuOFv1SwrQ4A"" /]"
"[title_desc name=""Color Tile Generator"" desc=""Generates images based on a color"" /]",[kkratings id=232326],[prev img=https://s5.postimg.cc/yamf98gsn/ctg.png],[all_engines],"[mega id=""https://mega.nz/#F!FJBC3TJa!NAq2B-0PLMHRLoDIrSBd8A"" /]"
"[title_desc name=""Spraygen"" desc=""Create sprays for use in games such as CS:S"" /]",[kkratings id=232327],[prev img=https://s5.postimg.cc/ma0z8i9dz/501baa72077e8.jpg],[source],"[mega id=""https://mega.nz/#F!wc5QEYga!lrOL_uy9Ssg6_NnSZYg7Kg"" /]"
"[title_desc name=""Sprayr"" desc=""Create logos/Sprays for Source Games"" /]",[kkratings id=232328],[prev img=https://s5.postimg.cc/60at5lypz/spr.png],[source],"[mega id=""https://mega.nz/#F!JURmBKBb!LCCJYbyBqtMPgpQBhmCH7Q"" /]"
"[title_desc name=""Sprite Fixer"" desc=""Useful for locking sprites to Z-axis rotations."" /]",[kkratings id=232329],[prev img=https://s5.postimg.cc/9ml7vzuh3/157.jpg],[goldsrc],"[mega id=""https://mega.nz/#F!FNwXSD6b!BSDWYE6XFV8E-jdCI2yHmQ"" /]"
"[title_desc name=""Sprite Mage"" desc=""Used to lock the z, x and y axis of a sprite."" /]",[kkratings id=232330],[prev img=https://s5.postimg.cc/wckcozdon/sprmage.png],[goldsrc],"[mega id=""https://mega.nz/#F!xVJDHJIK!Hq-Bao-McosNni_udmovYg"" /]"
"[title_desc name=""Sprite Maker"" desc=""Create sprites for GoldSrc"" /]",[kkratings id=232331],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[goldsrc],"[mega id=""https://mega.nz/#F!RE5CnYIJ!ddpc6HdiWAx7LPbRe2pe-g"" /]"
"[title_desc name=""Sprite Tool Pack"" desc=""Includes, SprWiz, SprView &amp; Sprite Explorer"" /]",[kkratings id=232332],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[goldsrc],"[mega id=""https://mega.nz/#F!VNxSXZwR!lSILpKSZ2BhxX1wAP_-4EA"" /]"
"[title_desc name=""Sprite Explorer"" desc=""Explore the contents of .spr files"" /]",[kkratings id=232333],[prev img=https://s5.postimg.cc/yienjhh53/u_http_counter_strike_com_ua_uploads_images_p.png],[goldsrc],"[mega id=""https://mega.nz/#F!Ic4j1Ija!SveiasVsssOh-9TLL2md1A"" /]"
"[title_desc name=""Sprview"" desc=""View .spr files"" /]",[kkratings id=232334],[prev img=https://s5.postimg.cc/66t3mfx8n/u_http_tse1_mm_bing_net_th_id_OIP_M27fc8c0223.jpg],[goldsrc],"[mega id=""https://mega.nz/#F!4JhFRZJb!XEPCt31q72X_fWGjhl7Epw"" /]"
"[title_desc name=""Sprwiz"" desc=""Put together a sprite from a series of .bmp files"" /]",[kkratings id=232335],[prev img=https://mega.nz/#F!UNgRzQrQ!mkvxLCFdiaTxJWA0Sem81Q],[goldsrc],"[mega id=""https://mega.nz/#F!UNgRzQrQ!mkvxLCFdiaTxJWA0Sem81Q"" /]"
"[title_desc name=""Alphaconv"" desc=""Convert images between TGA, BMP and PNG"" /]",[kkratings id=232336],[prev img=https://s5.postimg.cc/hkfmxn7rb/alphaconv.png],[all_engines],"[mega id=""https://mega.nz/#F!1FJXWBYS!XeVMIDrVv3EjYCyuMjLntQ"" /]"
"[title_desc name=""Targa Tool"" desc=""A modified version of the Trainsim utility TgaTool2"" /]",[kkratings id=232337],[prev img=https://s5.postimg.cc/6m4dfgj5z/tgatool3.png],[all_engines],"[mega id=""https://mega.nz/#F!oQBiEISJ!JhEjKKzAam5Ss9a8xt1enQ"" /]"
"[title_desc name=""Texture Tool"" desc=""Auto generate large flag script files for Trinity Render"" /]",[kkratings id=232338],[prev img=https://s5.postimg.cc/fif5je9s7/image.png],[goldsrc],"[mega id=""https://mega.nz/#F!lU4DWZxS!pmgMCt4FEuNN7THEdBzYYg"" /]"
"[title_desc name=""TexturEd"" desc=""GUI for the vTex"" /]",[kkratings id=232339],[prev img=https://s5.postimg.cc/csaezy2h3/ensemble_grand.jpg],[goldsrc],"[mega id=""https://mega.nz/#F!cdwlCKiL!nS4Dqc63T9IjQ4jdnYLgCA"" /]"
"[title_desc name=""textureSDK"" desc=""Toolset and tutorials for creating good GoldSrc materials"" /]",[kkratings id=232340],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[goldsrc],"[mega id=""https://mega.nz/#F!Ac5ggKRb!RzAlYfeC_emqYd6d3C_26w"" /]"
"[title_desc name=""TGAtoDUDV"" desc=""Convert TGA's into a DuDv format, without the need of having Steam to be running"" /]",[kkratings id=232341],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[source],"[mega id=""https://mega.nz/#F!JRgWyYJA!BCNYA1LMaySt_hcSQGKiJw"" /]"
"[title_desc name=""VMT Compiler"" desc=""Automate the process of creating VMTs for VTFs"" /]",[kkratings id=232343],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[source],"[mega id=""https://mega.nz/#F!wAgCwJAB!zNjLiMLAEvqYq_baoy9RPg"" /]"
"[title_desc name=""VMTCreate"" desc=""Ease the creation of .vmt files as wells as convert Targa files to Valve's Texture Format."" /]",[kkratings id=232344],[prev img=https://s5.postimg.cc/ihqnk98nb/vmtcreator.png /],[source],"[mega id=""https://mega.nz/#F!wM5EDZqL!F91jl6MTjz2nR4juKcI8Cw"" /]"
"[title_desc name=""VMTMaker (phatsams)"" desc=""VMT Creation Tool"" /]",[kkratings id=232345],[prev img=https://s5.postimg.cc/5ev10zifb/vmtmaker.png /],[source],"[mega id=""https://mega.nz/#F!gJoVXYoB!x74dFUnhKt3A8zFWBbngKw"" /]"
"[title_desc name=""VMTMaker (sonicsight)"" desc=""VMT Creation Tool"" /]",[kkratings id=232346],[prev img=https://s5.postimg.cc/l2w87ry13/maxresdefault.jpg /],[source],"[mega id=""https://mega.nz/#F!kUpAzaZD!5f4hl2ndA6CDEee-9jQyeQ"" /]"
"[title_desc name=""VMTMaker (TN Skoop)"" desc=""VMT Creation Tool"" /]",[kkratings id=232347],[prev img=https://s5.postimg.cc/53dko81zb/2410.jpg /],[source],"[mega id=""https://mega.nz/#F!YQQX2ZqZ!vajz3fyVUVzF3h2kwGjVWQ"" /]"
"[title_desc name=""Vtex Modified"" desc=""new working version of vtex"" /]",[kkratings id=232342],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[source],"[mega id=""https://mega.nz/#F!ZdIhzCyB!UE5SfFynftPjKK4EuCRdLw"" /]"
"[title_desc name=""VTF Creator &amp; VMT Generator"" desc=""Quick way to convert mass amounts of image files to VTF/VMT"" /]",[kkratings id=232348],[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png],[source],"[mega id=""https://mega.nz/#F!tNIy0BZL!SERmyWVr2fuQRLNzUW-gAw"" /]"
"[title_desc name=""VTF Explorer"" desc=""A tool for viewing, converting and extracting from GCF files Source materials."" /]",[kkratings id=232349],[prev img=https://s5.postimg.cc/44x7lxonb/151629_1.jpg],[source],"[mega id=""https://mega.nz/#F!gcRklARa!2wYi46ZSPJ-vSC_Zt-FSNA"" /]"
"[title_desc name=""VTF Reader"" desc=""Open and View VTFs"" /]",[kkratings id=232350],[prev img=https://s5.postimg.cc/kh79bo2yv/vtfreader.png],[source],"[mega id=""https://mega.nz/#F!lVpWiCRB!OMjQM1XinZwjgLCalk0qdw"" /]"
"[title_desc name=""VTF Version Changer"" desc=""Change the version of vtfs without having to hex"" /]",[kkratings id=232351],[prev img=https://s5.postimg.cc/6c1g9utxj/1386009391.png],[source],"[mega id=""https://mega.nz/#F!VYojgQLQ!zqQ9r16XjA71E1HvfbURwA"" /]"
"[title_desc name=""VTF Edit"" desc=""Widely used VTF editing tool"" /]",[kkratings id=232352],[prev img=https://s5.postimg.cc/h0578p3wn/u_http_nemesis_thewavelength_net_images_image.png],[source],"[mega id=""https://mega.nz/#F!QYQEFJZL!aueoyIpQFVD5hKiw3BglPg"" /]"
"[title_desc name=""VTF Lib"" desc=""Library for adding VTF support to your own apps"" /]",[kkratings id=232353],[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png],[source],"[mega id=""https://mega.nz/#F!hRJlBCBR!HVKc0x6WeLXNZIFBhv8p3w"" /]"
"[title_desc name=""VTFTool"" desc=""GUI replacement for the VTF2TGA and VTEX applications"" /]",[kkratings id=232354],[prev img=https://s5.postimg.cc/jivhn4f0n/u_http_i127_photobucket_com_albums_p134_Debma.jpg],[source],"[mega id=""https://mega.nz/#F!ZJg2ELyK!DXIQ_4G528CZLY2bwSIi_A"" /]"
"[title_desc name=""Easy WAD Maker"" desc=""GUI application to help simplify the WAD creation process"" /]",[kkratings id=232355],[prev img=https://s5.postimg.cc/brerokavb/u_http_tse2_mm_bing_net_th_id_OIP_M7ad198a671.jpg],[goldsrc],"[mega id=""https://mega.nz/#F!AVZXwQ7K!O-Vz-ajlnQ1hw6MQfdXXqw"" /]"
"[title_desc name=""WAD2BMP"" desc=""Converts the contents of WADs into BMPs"" /]",[kkratings id=232356],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[goldsrc],"[mega id=""https://mega.nz/#F!pUREhLCJ!P7A46rWvoc_zWRN7IFe7gQ"" /]"
"[title_desc name=""Wally"" desc=""Defacto tool for texture management in GoldSrc"" /]",[kkratings id=232357],[prev img=https://s5.postimg.cc/h43m2oyrr/suvgn8.jpg /],[goldsrc],"[mega id=""https://mega.nz/#F!kE4FzCaK!WrXI40jGwAxmT_2TvOdg9Q"" /]"
"[title_desc name=""Wood Workshop"" desc=""A free seamless texture editor"" /]",[kkratings id=232358],[prev img=https://s5.postimg.cc/eo1sougp3/ww_screenshotb.jpg /],[all_engines],"[mega id=""https://mega.nz/#F!BBYFyYIT!mra41SVtVgsXnEqvckbCkA"" /]"
"[title_desc name=""Half-Life Weapon Sprite Definition Generator"" desc=""Well, actually an editor for weapon sprites"" home_link=""http://articles.thewavelength.net/407/"" /]",[kkratings id=232359],[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png],[goldsrc],"[mega id=""https://mega.nz/#F!FAIFka6B!WcjIJScWvknFNgjCX7cJ1Q"" /]"
"[title_desc name=""Wavelength PalMerge"" desc=""Paletted images merger for half life"" home_link=""http://articles.thewavelength.net/417/"" /]",[kkratings id=232360],[prev img=https://s5.postimg.cc/rmc9r3jlz/twl_palmerge.jpg],[goldsrc],"[mega id=""https://mega.nz/#F!NN4DFTQa!1_5LgUXzF1SoKxO0LF3faw"" /]"
"[title_desc name=""Wavelength PalMerge"" desc=""GFX Wad compiler taken from nextwish.org"" /]",[kkratings id=232361],[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png],[goldsrc],"[mega id=""https://mega.nz/#F!0NolWB7T!l3R7Dj424lzHPEW20qNpDA"" /]"
"[title_desc name=""Wad Viewer"" desc=""Viewer for previewing WAD files (source code only)"" /]",[kkratings id=232362],[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png],[goldsrc],"[mega id=""https://mega.nz/#F!pZx0wZzJ!YCzchEn_tG3YoBD9H5Hz-w"" /]"
"[title_desc name=""Detail Tool"" desc=""It auto generates 'detailtextures.txt' for the detail file generator the Trinity\Abyss engine use."" /]",[kkratings id=232363],[prev img=https://s5.postimg.cc/j0beowp1j/detail_Tool.png],[goldsrc],"[mega id=""https://mega.nz/#F!JJgGnQBD!bA03mEd03-YFIyHTibjmVA"" /]"
"[title_desc name=""Half-Life Texture Tools"" desc=""Half-Life Texture Tools - create and view wad and spr files"" /]",[kkratings id=232364],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!YABi3Cga!niSHQ3lNhHIUHwLXoh99CQ"" /]"
"[title_desc name=""Wad Configuration Manager"" desc=""a tool to help manage WAD configurations."" /]",[kkratings id=232365],"[prev img=""https://s5.postimg.cc/isxf399s7/screenshot1.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!QF5HhZhR!c4kUGUA79mUCfCK86VGNEg"" /]"
"[title_desc name=""Lump Tool"" desc=""Edits and creates WAD files for the game Doom.  It\'s 9 years too late, but better late than never! 
"" /]","[kkratings id=""232366""]","[prev img=""https://s5.postimg.cc/joj2mz6tj/lumptool.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!QN4yBbjY!FDt6K4hJHGE05WUutd_UTQ"" /]"
"[title_desc name=""Sprite generator"" desc=""Sprite generator for HL "" /]","[kkratings id=""232367""]","[prev img=""https://s5.postimg.cc/y5nre9g93/cmd_Tool.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!ZZQBhC6J!xcBZo018fD0kV8TZErpc9A"" /]"
"[title_desc name=""Terrain Texture Generator"" desc=""Here\'s a little toy that synthesizes a unique terrain texture
by blending a set of base texture layers"" /]","[kkratings id=""232368""]","[prev img=""https://s5.postimg.cc/3rkaq1gxj/texgen.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!9RAFiDTA!NX83WJROiYNNkfp1st5YEg"" /]"
"[title_desc name=""SkyGen"" desc=""This is a simple seamless skybox bitmap generator. It generates
six bitmaps which can be used as the textures on a skybox within
a game engine"" /]","[kkratings id=""232369""]","[prev img=""https://s5.postimg.cc/4u5i5hhyf/5a5117b229cbe.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!VBpyCZgT!FAT5eUs_ti75cq2u-JvgXg"" /]"
